cusip,options,issuer,description,status
049392 95 3,,ATLAS PIPELINE PARTNERS LP,PUT,
049513 10 4,*,ATMEL CORP,COM,
049513 90 4,,ATMEL CORP,CALL,
049513 95 4,,ATMEL CORP,PUT,
049560 10 5,*,ATMOS ENERGY CORP,COM,
049560 90 5,,ATMOS ENERGY CORP,CALL,
049560 95 5,,ATMOS ENERGY CORP,PUT,
04963C 20 9,,ATRICURE INC,COM,
04964C 10 9,,ATRINSIC INC,COM,
049904 10 5,,ATRION CORP,COM,
050095 10 8,*,ATWOOD OCEANICS INC,COM,
050095 90 8,,ATWOOD OCEANICS INC,CALL,
050095 95 8,,ATWOOD OCEANICS INC,PUT,
050473 10 7,,AUBURN NATL BANCORP,COM,
050732 AB 2,,AUDIOCODES LTD,NOTE  2.000%11/0,
050757 10 3,*,AUDIOVOX CORP,CL A,
050757 90 3,,AUDIOVOX CORP,CALL,
050757 95 3,,AUDIOVOX CORP,PUT,
050912 20 3,*,AUGUSTA RES CORP,COM NEW,
050912 90 3,,AUGUSTA RES CORP,CALL,
050912 95 3,,AUGUSTA RES CORP,PUT,
05155P 10 6,*,AURIZON MINES LTD,COM,
05155P 90 6,,AURIZON MINES LTD,CALL,
05155P 95 6,,AURIZON MINES LTD,PUT,
052660 10 7,*,AUTHENTEC INC,COM,
052660 90 7,,AUTHENTEC INC,CALL,
052660 95 7,,AUTHENTEC INC,PUT,
052666 10 4,*,AUTHENTIDATE HLDG CORP,COM,
052666 90 4,,AUTHENTIDATE HLDG CORP,CALL,
052666 95 4,,AUTHENTIDATE HLDG CORP,PUT,
05275N 10 6,*,AUTOBYTEL INC,COM,
05275N 90 6,,AUTOBYTEL INC,CALL,
05275N 95 6,,AUTOBYTEL INC,PUT,
052769 10 6,*,AUTODESK INC,COM,
052769 90 6,,AUTODESK INC,CALL,
052769 95 6,,AUTODESK INC,PUT,
052800 10 9,*,AUTOLIV INC,COM,
052800 90 9,,AUTOLIV INC,CALL,
052800 95 9,,AUTOLIV INC,PUT,
052800 20 8,,AUTOLIV INC,UNIT 99/99/9999,
053015 10 3,*,AUTOMATIC DATA PROCESSING IN,COM,
053015 90 3,,AUTOMATIC DATA PROCESSING IN,CALL,
053015 95 3,,AUTOMATIC DATA PROCESSING IN,PUT,
05329W 10 2,*,AUTONATION INC,COM,
05329W 90 2,,AUTONATION INC,CALL,
05329W 95 2,,AUTONATION INC,PUT,
053332 10 2,*,AUTOZONE INC,COM,
053332 90 2,,AUTOZONE INC,CALL,
053332 95 2,,AUTOZONE INC,PUT,
05334D 10 7,*,AUXILIUM PHARMACEUTICALS INC,COM,
05334D 90 7,,AUXILIUM PHARMACEUTICALS INC,CALL,
05334D 95 7,,AUXILIUM PHARMACEUTICALS INC,PUT,
05343P 10 9,,AVALON HLDGS CORP,CL A,
05348P 40 1,*,AVANIR PHARMACEUTICALS INC,CL A NEW,
05348P 90 1,,AVANIR PHARMACEUTICALS INC,CALL,
05348P 95 1,,AVANIR PHARMACEUTICALS INC,PUT,
053484 10 1,*,AVALONBAY CMNTYS INC,COM,
053484 90 1,,AVALONBAY CMNTYS INC,CALL,
053484 95 1,,AVALONBAY CMNTYS INC,PUT,
053494 AF 7,,AVATAR HLDGS INC,NOTE  4.500% 4/0,
053494 10 0,,AVATAR HLDGS INC,COM,
053588 10 9,,AVEO PHARMACEUTICALS INC,COM,ADDED
053611 10 9,*,AVERY DENNISON CORP,COM,
053611 90 9,,AVERY DENNISON CORP,CALL,
053611 95 9,,AVERY DENNISON CORP,PUT,
05366Y 10 2,*,AVIAT NETWORKS INC,COM,ADDED
05366Y 90 2,,AVIAT NETWORKS INC,CALL,ADDED
05366Y 95 2,,AVIAT NETWORKS INC,PUT,ADDED
05367P 10 0,*,AVID TECHNOLOGY INC,COM,
05367P 90 0,,AVID TECHNOLOGY INC,CALL,
05367P 95 0,,AVID TECHNOLOGY INC,PUT,
053690 10 3,*,AVIGEN INC,COM,DELETED
053690 90 3,,AVIGEN INC,CALL,DELETED
053690 95 3,,AVIGEN INC,PUT,DELETED
053774 10 5,*,AVIS BUDGET GROUP,COM,
053774 90 5,,AVIS BUDGET GROUP,CALL,
053774 95 5,,AVIS BUDGET GROUP,PUT,
05379B 10 7,*,AVISTA CORP,COM,
05379B 90 7,,AVISTA CORP,CALL,
05379B 95 7,,AVISTA CORP,PUT,
053807 10 3,*,AVNET INC,COM,
053807 90 3,,AVNET INC,CALL,
053807 95 3,,AVNET INC,PUT,
05382A 10 4,,AVIVA PLC,ADR,
054303 10 2,*,AVON PRODS INC,COM,
054303 90 2,,AVON PRODS INC,CALL,
054303 95 2,,AVON PRODS INC,PUT,
05453N 10 0,*,AWARE INC MASS,COM,
05453N 90 0,,AWARE INC MASS,CALL,
05453N 95 0,,AWARE INC MASS,PUT,
054536 10 7,*,AXA,SPONSORED ADR,
054536 90 7,,AXA,CALL,
054536 95 7,,AXA,PUT,
054540 10 9,*,AXCELIS TECHNOLOGIES INC,COM,
054540 90 9,,AXCELIS TECHNOLOGIES INC,CALL,
054540 95 9,,AXCELIS TECHNOLOGIES INC,PUT,
054937 10 7,*,BB&T CORP,COM,
054937 90 7,,BB&T CORP,CALL,
054937 95 7,,BB&T CORP,PUT,
05508R 10 6,*,B & G FOODS INC NEW,CL A,
05508R 90 6,,B & G FOODS INC NEW,CALL,
05508R 95 6,,B & G FOODS INC NEW,PUT,
055090 10 4,,B&H OCEAN CARRIERS LTD,COM,
055298 10 3,,BCB BANCORP INC,COM,
05534B 76 0,*,BCE INC,COM NEW,
05534B 90 0,,BCE INC,CALL,
05534B 95 0,,BCE INC,PUT,
055367 10 6,,BCSB BANCORP INC,COM,
05541T 10 1,*,BGC PARTNERS INC,CL A,
05541T 90 1,,BGC PARTNERS INC,CALL,
05541T 95 1,,BGC PARTNERS INC,PUT,
05545E 20 9,*,BHP BILLITON PLC,SPONSORED ADR,
05545E 90 9,,BHP BILLITON PLC,CALL,
05545E 95 9,,BHP BILLITON PLC,PUT,
05548J 10 6,*,BJS WHOLESALE CLUB INC,COM,
05548J 90 6,,BJS WHOLESALE CLUB INC,CALL,
05548J 95 6,,BJS WHOLESALE CLUB INC,PUT,
055482 10 3,*,BJ SVCS CO,COM,
055482 90 3,,BJ SVCS CO,CALL,
055482 95 3,,BJ SVCS CO,PUT,
05561Q 20 1,*,BOK FINL CORP,COM NEW,
05561Q 90 1,,BOK FINL CORP,CALL,
05561Q 95 1,,BOK FINL CORP,PUT,
055622 10 4,*,BP PLC,SPONSORED ADR,
055622 90 4,,BP PLC,CALL,
055622 95 4,,BP PLC,PUT,
055630 10 7,*,BP PRUDHOE BAY RTY TR,UNIT BEN INT,
055630 90 7,,BP PRUDHOE BAY RTY TR,CALL,
055630 95 7,,BP PRUDHOE BAY RTY TR,PUT,
055637 10 2,,BPW ACQUISITION CORP,COM,
055637 11 0,,BPW ACQUISITION CORP,*W EXP 02/26/201,
055637 20 1,,BPW ACQUISITION CORP,UNIT 99/99/9999,
055639 10 8,*,BPZ RESOURCES INC,COM,
055639 90 8,,BPZ RESOURCES INC,CALL,
055639 95 8,,BPZ RESOURCES INC,PUT,
05564E BH 8,,BRE PROPERTIES INC,NOTE  4.125% 8/1,
05564E 10 6,*,BRE PROPERTIES INC,CL A,
05564E 90 6,,BRE PROPERTIES INC,CALL,
05564E 95 6,,BRE PROPERTIES INC,PUT,
055645 30 3,,BRT RLTY TR,SH BEN INT NEW,
05566T 10 1,,BNC BANCORP,COM,
05566U 10 8,,BOFI HLDG INC,COM,
055662 10 0,*,BSD MED CORP DEL,COM,
055662 90 0,,BSD MED CORP DEL,CALL,
055662 95 0,,BSD MED CORP DEL,PUT,
05569C 10 5,,BMP SUNSTONE CORP,COM,
05577E 10 1,*,BT GROUP PLC,ADR,
05577E 90 1,,BT GROUP PLC,CALL,
05577E 95 1,,BT GROUP PLC,PUT,
055921 10 0,*,BMC SOFTWARE INC,COM,
055921 90 0,,BMC SOFTWARE INC,CALL,
055921 95 0,,BMC SOFTWARE INC,PUT,
056032 10 5,,BTU INTL INC,COM,
056033 10 3,*,B2B INTERNET HOLDRS TR,DEPOSTRY RCPT,
056033 90 3,,B2B INTERNET HOLDRS TR,CALL,
056033 95 3,,B2B INTERNET HOLDRS TR,PUT,
05614P 10 1,,BABCOCK & BROWN AIR LTD,SPONSORED ADR,
056525 10 8,*,BADGER METER INC,COM,
056525 90 8,,BADGER METER INC,CALL,
056525 95 8,,BADGER METER INC,PUT,
056752 10 8,*,BAIDU INC,SPON ADR REP A,
056752 90 8,,BAIDU INC,CALL,
056752 95 8,,BAIDU INC,PUT,
057149 10 6,,BAKER MICHAEL CORP,COM,
057224 10 7,*,BAKER HUGHES INC,COM,
057224 90 7,,BAKER HUGHES INC,CALL,
057224 95 7,,BAKER HUGHES INC,PUT,
057465 10 6,,BAKERS FOOTWEAR GROUP INC,COM,
057665 20 0,*,BALCHEM CORP,COM,
057665 90 0,,BALCHEM CORP,CALL,
057665 95 0,,BALCHEM CORP,PUT,
057741 10 0,*,BALDOR ELEC CO,COM,
057741 90 0,,BALDOR ELEC CO,CALL,
057741 95 0,,BALDOR ELEC CO,PUT,
057755 10 0,,BALDWIN & LYONS INC,CL A,
057755 20 9,,BALDWIN & LYONS INC,CL B,
058264 10 2,,BALDWIN TECHNOLOGY INC,CL A,
058498 10 6,*,BALL CORP,COM,
058498 90 6,,BALL CORP,CALL,
058498 95 6,,BALL CORP,PUT,
058516 10 5,,BALLANTYNE STRONG INC,COM,
058586 10 8,*,BALLARD PWR SYS INC NEW,COM,
058586 90 8,,BALLARD PWR SYS INC NEW,CALL,
058586 95 8,,BALLARD PWR SYS INC NEW,PUT,
05874B 10 7,*,BALLY TECHNOLOGIES INC,COM,
05874B 90 7,,BALLY TECHNOLOGIES INC,CALL,
05874B 95 7,,BALLY TECHNOLOGIES INC,PUT,
05945F 10 3,,BANCFIRST CORP,COM,
05946K 10 1,*,BANCO BILBAO VIZCAYA ARGENTA,SPONSORED ADR,
05946K 90 1,,BANCO BILBAO VIZCAYA ARGENTA,CALL,
05946K 95 1,,BANCO BILBAO VIZCAYA ARGENTA,PUT,
059460 30 3,*,BANCO BRADESCO S A,SP ADR PFD NEW,
059460 90 3,,BANCO BRADESCO S A,CALL,
059460 95 3,,BANCO BRADESCO S A,PUT,
059520 10 6,,BANCO DE CHILE,SPONSORED ADR,
05961W 10 5,,BANCO MACRO SA,SPON ADR B,
05964H 10 5,*,BANCO SANTANDER SA,ADR,
05964H 90 5,,BANCO SANTANDER SA,CALL,
05964H 95 5,,BANCO SANTANDER SA,PUT,
05965X 10 9,*,BANCO SANTANDER CHILE NEW,SP ADR REP COM,
05965X 90 9,,BANCO SANTANDER CHILE NEW,CALL,
05965X 95 9,,BANCO SANTANDER CHILE NEW,PUT,
05967A 10 7,*,BANCO SANTANDER BRASIL S A,ADS REP 1 UNIT,
05967A 90 7,,BANCO SANTANDER BRASIL S A,CALL,
05967A 95 7,,BANCO SANTANDER BRASIL S A,PUT,
05968L 10 2,*,BANCOLOMBIA S A,SPON ADR PREF,
05968L 90 2,,BANCOLOMBIA S A,CALL,
05968L 95 2,,BANCOLOMBIA S A,PUT,
05969A 10 5,,BANCORP INC DEL,COM,
059690 10 7,,BANCORP RHODE ISLAND INC,COM,
059692 10 3,*,BANCORPSOUTH INC,COM,
059692 90 3,,BANCORPSOUTH INC,CALL,
059692 95 3,,BANCORPSOUTH INC,PUT,
059695 10 6,,BANCROFT FUND LTD,COM,
05978R 10 7,,BANCTRUST FINANCIAL GP,COM,
059915 10 8,,BANCORP NEW JERSEY INC NEW,COM,
060505 CZ 5,,BANK OF AMERICA CORPORATION,NOTE  0.250% 2/1,ADDED
060505 10 4,*,BANK OF AMERICA CORPORATION,COM,
060505 90 4,,BANK OF AMERICA CORPORATION,CALL,
060505 95 4,,BANK OF AMERICA CORPORATION,PUT,
060505 15 3,,BANK OF AMERICA CORPORATION,*W EXP 10/28/201,ADDED
060505 41 9,,BANK OF AMERICA CORPORATION,UNIT 99/99/9999,DELETED
060505 68 2,,BANK OF AMERICA CORPORATION,7.25%CNV PFD L,ADDED
062128 10 3,,BANK FLA CORP NAPLES,COM,
062401 10 4,,BANK OF GRANITE CORP,COM,
062540 10 9,*,BANK HAWAII CORP,COM,
062540 90 9,,BANK HAWAII CORP,CALL,
062540 95 9,,BANK HAWAII CORP,PUT,
062896 10 5,,BANK KY FINL CORP,COM,
063425 10 2,,BANK OF MARIN BANCORP,COM,
063554 10 9,,BANK OF MCKENNEY VA,CAP STK,DELETED
063671 10 1,*,BANK MONTREAL QUE,COM,
063671 90 1,,BANK MONTREAL QUE,CALL,
063671 95 1,,BANK MONTREAL QUE,PUT,
063750 10 3,*,BANK MUTUAL CORP NEW,COM,
063750 90 3,,BANK MUTUAL CORP NEW,CALL,
063750 95 3,,BANK MUTUAL CORP NEW,PUT,
063904 10 6,*,BANK OF THE OZARKS INC,COM,
063904 90 6,,BANK OF THE OZARKS INC,CALL,
063904 95 6,,BANK OF THE OZARKS INC,PUT,
064058 10 0,*,BANK OF NEW YORK MELLON CORP,COM,
064058 90 0,,BANK OF NEW YORK MELLON CORP,CALL,
064058 95 0,,BANK OF NEW YORK MELLON CORP,PUT,
064149 10 7,*,BANK NOVA SCOTIA HALIFAX,COM,
064149 90 7,,BANK NOVA SCOTIA HALIFAX,CALL,
064149 95 7,,BANK NOVA SCOTIA HALIFAX,PUT,
06424J 10 3,,BANK COMM HLDGS,COM,
06425J 10 2,,BANK OF THE CAROLINES CORP,COM,
065066 10 2,,BANK SOUTH CAROLINA CORP,COM,
06544P 10 4,,BANK VA CHESTERFIELD,COM,
065908 60 0,*,BANKATLANTIC BANCORP,CL A NEW,
065908 90 0,,BANKATLANTIC BANCORP,CALL,
065908 95 0,,BANKATLANTIC BANCORP,PUT,
06643P 10 4,,BANKFINANCIAL CORP,COM,
066470 10 5,,BANKS COM INC,COM,
06652V 10 9,*,BANNER CORP,COM,
06652V 90 9,,BANNER CORP,CALL,
06652V 95 9,,BANNER CORP,PUT,
066800 10 3,,BANRO CORP,COM,
066800 11 1,,BANRO CORP,*W EXP 09/17/201,
066849 10 0,,BAR HBR BANKSHARES,COM,
06738C 77 8,,BARCLAYS BK PLC,DJUBS CMDT ETN36,
06738C 78 6,,BARCLAYS BK PLC,IPSP CROIL ETN,
06738C 79 4,,BARCLAYS BK PLC,IPSPGS TTL ETN,
06738E 20 4,*,BARCLAYS PLC,ADR,
06738E 90 4,,BARCLAYS PLC,CALL,
06738E 95 4,,BARCLAYS PLC,PUT,
06738G 40 7,,BARCLAYS BK PLC,ETN DJUBS IND MT,
06738G 87 8,,BARCLAYS BK PLC,ASIA CURR ETN,
067383 10 9,*,BARD C R INC,COM,
067383 90 9,,BARD C R INC,CALL,
067383 95 9,,BARD C R INC,PUT,
06739F 10 1,,BARCLAYS BK PLC,ETN DJUBS COPR37,
06739F 11 9,,BARCLAYS BK PLC,ETN DJUBS NCKL37,
06739F 13 5,,BARCLAYS BK PLC,ETN CBOE SPBUY,
06739F 17 6,,BARCLAYS BK PLC,IP GBP/USD ETN,
06739F 18 4,,BARCLAYS BK PLC,IP EUR/USD ETN,
06739F 29 1,,BARCLAYS BK PLC,IPMS INDIA ETN,
06739F 39 0,,BARCLAYS BK PLC,ADR 2 PREF 2,
06739G 85 1,,BARCLAYS BANK PLC,IPTH JPY/USD ETN,
06739H 16 4,,BARCLAYS BANK PLC,ETN GLB CARB38,
06739H 19 8,,BARCLAYS BANK PLC,ETN DJUBS TIN 38,
06739H 20 6,,BARCLAYS BANK PLC,ETN DJUBS AGRI37,
06739H 21 4,,BARCLAYS BANK PLC,ETN DJUBS SGAR38,
06739H 23 0,,BARCLAYS BANK PLC,ETN DJUBSSOFT 38,
06739H 24 8,,BARCLAYS BANK PLC,ETN DJUBS PMET38,
06739H 25 5,,BARCLAYS BANK PLC,ETN DJUBSPLATM38,
06739H 26 3,,BARCLAYS BANK PLC,ETN DJUBSLEAD 38,
06739H 27 1,,BARCLAYS BANK PLC,ETN DJUBSCOTTN38,
06739H 29 7,,BARCLAYS BANK PLC,ETN DJUBSCOFFE38,
06739H 30 5,,BARCLAYS BANK PLC,ETN DJUBS GRNS37,
06739H 31 3,,BARCLAYS BANK PLC,ETN DJUBSCOCO 38,
06739H 32 1,,BARCLAYS BANK PLC,ETN DJUBSALUMI38,
06739H 36 2,,BARCLAYS BANK PLC,ADR PFD SR 5,
06739H 41 2,,BARCLAYS BANK PLC,CARRY ETN 38,
06739H 42 0,,BARCLAYS BANK PLC,ASIA GULF ETN38,
06739H 45 3,,BARCLAYS BANK PLC,GEMS INDX ETN38,
06739H 51 1,,BARCLAYS BANK PLC,ADS7.75%PFD S4,
06739H 64 4,,BARCLAYS BANK PLC,ETN DJUBS NAT37,
06739H 74 3,,BARCLAYS BANK PLC,ETN DJUBSLVSTK37,
06739H 75 0,,BARCLAYS BANK PLC,ETN DJUBS ENRG37,
06739H 77 6,,BARCLAYS BANK PLC,SP ADR 7.1%PF3,
06740C 51 9,,BARCLAYS BK PLC,IPATH S&P ETN,
06740C 52 7,,BARCLAYS BK PLC,IPATH SHRT ETN,
06740H 63 3,,BARCLAYS BK PLC,SHTD S&P500 14,
06740H 64 1,,BARCLAYS BK PLC,SHTC S&P500 14,
06740H 65 8,,BARCLAYS BK PLC,SHTB S&P500 14,
06740H 66 6,,BARCLAYS BK PLC,LNGC S&P500 14,
06740H 67 4,,BARCLAYS BK PLC,LNGB S&P500 14,
067511 10 5,*,BARE ESCENTUALS INC,COM,DELETED
067511 90 5,,BARE ESCENTUALS INC,CALL,DELETED
067511 95 5,,BARE ESCENTUALS INC,PUT,DELETED
067774 10 9,*,BARNES & NOBLE INC,COM,
067774 90 9,,BARNES & NOBLE INC,CALL,
067774 95 9,,BARNES & NOBLE INC,PUT,
067806 AB 5,,BARNES GROUP INC,NOTE  3.750% 8/0,
067806 AD 1,,BARNES GROUP INC,NOTE  3.375% 3/1,
067806 10 9,*,BARNES GROUP INC,COM,
067806 90 9,,BARNES GROUP INC,CALL,
067806 95 9,,BARNES GROUP INC,PUT,
067901 10 8,*,BARRICK GOLD CORP,COM,
067901 90 8,,BARRICK GOLD CORP,CALL,
067901 95 8,,BARRICK GOLD CORP,PUT,
068221 10 0,,BARNWELL INDS INC,COM,
06846N AA 2,,BARRETT BILL CORP,NOTE  5.000% 3/1,
06846N 10 4,*,BARRETT BILL CORP,COM,
06846N 90 4,,BARRETT BILL CORP,CALL,
06846N 95 4,,BARRETT BILL CORP,PUT,
068463 10 8,,BARRETT BUSINESS SERVICES IN,COM,
068798 10 7,,BARRY R G CORP OHIO,COM,
06985P 10 0,*,BASIC ENERGY SVCS INC NEW,COM,
06985P 90 0,,BASIC ENERGY SVCS INC NEW,CALL,
06985P 95 0,,BASIC ENERGY SVCS INC NEW,PUT,
070203 10 4,,BASSETT FURNITURE INDS INC,COM,
071813 10 9,*,BAXTER INTL INC,COM,
071813 90 9,,BAXTER INTL INC,CALL,
071813 95 9,,BAXTER INTL INC,PUT,
072500 10 1,,BAY NATL CORP,COM,
073176 10 9,*,BAYTEX ENERGY TR,TRUST UNIT,
073176 90 9,,BAYTEX ENERGY TR,CALL,
073176 95 9,,BAYTEX ENERGY TR,PUT,
07329M 10 0,,BBVA BANCO FRANCES S A,SPONSORED ADR,
073302 10 1,*,BE AEROSPACE INC,COM,
073302 90 1,,BE AEROSPACE INC,CALL,
073302 95 1,,BE AEROSPACE INC,PUT,
073334 10 4,,BEACH FIRST NATL BANCSHARES,COM,
073582 10 8,,BEACON FED BANCORP INC,COM,
073677 10 6,,BEACON POWER CORP,COM,
073685 10 9,*,BEACON ROOFING SUPPLY INC,COM,
073685 90 9,,BEACON ROOFING SUPPLY INC,CALL,
073685 95 9,,BEACON ROOFING SUPPLY INC,PUT,
074014 10 1,,BEASLEY BROADCAST GROUP INC,CL A,
07556Q AL 9,,BEAZER HOMES USA INC,NOTE  4.625% 6/1,
07556Q 10 5,*,BEAZER HOMES USA INC,COM,
07556Q 90 5,,BEAZER HOMES USA INC,CALL,
07556Q 95 5,,BEAZER HOMES USA INC,PUT,
07556Q 40 2,,BEAZER HOMES USA INC,NT SUB7.5%2013,ADDED
075571 10 9,*,BEBE STORES INC,COM,
075571 90 9,,BEBE STORES INC,CALL,
075571 95 9,,BEBE STORES INC,PUT,
075811 AD 1,,BECKMAN COULTER INC,NOTE  2.500%12/1,
075811 10 9,*,BECKMAN COULTER INC,COM,
075811 90 9,,BECKMAN COULTER INC,CALL,
075811 95 9,,BECKMAN COULTER INC,PUT,
075887 10 9,*,BECTON DICKINSON & CO,COM,
075887 90 9,,BECTON DICKINSON & CO,CALL,
075887 95 9,,BECTON DICKINSON & CO,PUT,
075896 10 0,*,BED BATH & BEYOND INC,COM,
075896 90 0,,BED BATH & BEYOND INC,CALL,
075896 95 0,,BED BATH & BEYOND INC,PUT,
077347 20 1,,BEL FUSE INC,CL A,
077347 30 0,,BEL FUSE INC,CL B,
077454 10 6,*,BELDEN INC,COM,
077454 90 6,,BELDEN INC,CALL,
077454 95 6,,BELDEN INC,PUT,
078137 AC 0,,BELL MICROPRODUCTS INC,NOTE  3.750% 3/0,ADDED
078137 10 6,,BELL MICROPRODUCTS INC,COM,ADDED
080555 10 5,*,BELO CORP,COM SER A,
080555 90 5,,BELO CORP,CALL,
080555 95 5,,BELO CORP,PUT,
081437 10 5,*,BEMIS INC,COM,
081437 90 5,,BEMIS INC,CALL,
081437 95 5,,BEMIS INC,PUT,
08160H 10 1,*,BENCHMARK ELECTRS INC,COM,
08160H 90 1,,BENCHMARK ELECTRS INC,CALL,
08160H 95 1,,BENCHMARK ELECTRS INC,PUT,
08173R 10 4,,BENEFICIAL MUTUAL BANCORP IN,COM,
082047 10 1,,BENIHANA INC,COM,
082047 20 0,,BENIHANA INC,CL A,
084423 10 2,*,BERKLEY W R CORP,COM,
084423 90 2,,BERKLEY W R CORP,CALL,
084423 95 2,,BERKLEY W R CORP,PUT,
084597 20 2,,BERKSHIRE BANCORP INC DEL,COM NEW,
084670 10 8,,BERKSHIRE HATHAWAY INC DEL,CL A,
084670 20 7,*,BERKSHIRE HATHAWAY INC DEL,CL B,DELETED
084670 90 7,,BERKSHIRE HATHAWAY INC DEL,CALL,DELETED
084670 95 7,,BERKSHIRE HATHAWAY INC DEL,PUT,DELETED
084670 70 2,*,BERKSHIRE HATHAWAY INC DEL,CL B NEW,ADDED
084670 90 2,,BERKSHIRE HATHAWAY INC DEL,CALL,ADDED
084670 95 2,,BERKSHIRE HATHAWAY INC DEL,PUT,ADDED
084680 10 7,,BERKSHIRE HILLS BANCORP INC,COM,
085789 10 5,*,BERRY PETE CO,CL A,
085789 90 5,,BERRY PETE CO,CALL,
085789 95 5,,BERRY PETE CO,PUT,
086516 AF 8,,BEST BUY INC,SDCV  2.250% 1/1,
086516 10 1,*,BEST BUY INC,COM,
086516 90 1,,BEST BUY INC,CALL,
086516 95 1,,BEST BUY INC,PUT,
088606 10 8,*,BHP BILLITON LTD,SPONSORED ADR,
088606 90 8,,BHP BILLITON LTD,CALL,
088606 95 8,,BHP BILLITON LTD,PUT,
08883T 20 0,*,BIDZ COM INC,COM,
08883T 90 0,,BIDZ COM INC,CALL,
08883T 95 0,,BIDZ COM INC,PUT,
08915P 10 1,*,BIG 5 SPORTING GOODS CORP,COM,
08915P 90 1,,BIG 5 SPORTING GOODS CORP,CALL,
08915P 95 1,,BIG 5 SPORTING GOODS CORP,PUT,
089302 10 3,*,BIG LOTS INC,COM,
089302 90 3,,BIG LOTS INC,CALL,
089302 95 3,,BIG LOTS INC,PUT,
089750 50 9,*,BIGBAND NETWORKS INC,COM,
089750 90 9,,BIGBAND NETWORKS INC,CALL,
089750 95 9,,BIGBAND NETWORKS INC,PUT,
09057G 60 2,*,BIO-REFERENCE LABS INC,COM $.01 NEW,
09057G 90 2,,BIO-REFERENCE LABS INC,CALL,
09057G 95 2,,BIO-REFERENCE LABS INC,PUT,
090572 10 8,,BIO RAD LABS INC,CL B,
090572 20 7,*,BIO RAD LABS INC,CL A,
090572 90 7,,BIO RAD LABS INC,CALL,
090572 95 7,,BIO RAD LABS INC,PUT,
09058M 10 3,,BIOANALYTICAL SYS INC,COM,
09058V 10 3,*,BIOCRYST PHARMACEUTICALS,COM,
09058V 90 3,,BIOCRYST PHARMACEUTICALS,CALL,
09058V 95 3,,BIOCRYST PHARMACEUTICALS,PUT,
09060J 10 6,*,BIODELIVERY SCIENCES INTL IN,COM,
09060J 90 6,,BIODELIVERY SCIENCES INTL IN,CALL,
09060J 95 6,,BIODELIVERY SCIENCES INTL IN,PUT,
09061G AC 5,,BIOMARIN PHARMACEUTICAL INC,NOTE  2.500% 3/2,
09061G AD 3,,BIOMARIN PHARMACEUTICAL INC,NOTE  1.875% 4/2,
09061G 10 1,*,BIOMARIN PHARMACEUTICAL INC,COM,
09061G 90 1,,BIOMARIN PHARMACEUTICAL INC,CALL,
09061G 95 1,,BIOMARIN PHARMACEUTICAL INC,PUT,
09062X 10 3,*,BIOGEN IDEC INC,COM,
09062X 90 3,,BIOGEN IDEC INC,CALL,
09062X 95 3,,BIOGEN IDEC INC,PUT,
09063H 10 7,*,BIOMED REALTY TRUST INC,COM,
09063H 90 7,,BIOMED REALTY TRUST INC,CALL,
09063H 95 7,,BIOMED REALTY TRUST INC,PUT,
09064M 10 5,,BIODEL INC,COM,
09064X 10 1,*,BIOMIMETIC THERAPEUTICS INC,COM,
09064X 90 1,,BIOMIMETIC THERAPEUTICS INC,CALL,
09064X 95 1,,BIOMIMETIC THERAPEUTICS INC,PUT,
09064Y 10 9,,BIOFUEL ENERGY CORP,COM,
090643 10 7,,BIONOVO INC,COM,
09065G 10 7,,BIOFORM MEDICAL INC,COM,DELETED
09065V 20 3,*,BIOSANTE PHARMACEUTICALS INC,COM NEW,
09065V 90 3,,BIOSANTE PHARMACEUTICALS INC,CALL,
09065V 95 3,,BIOSANTE PHARMACEUTICALS INC,PUT,
09066L 10 5,,BIOTIME INC,COM,
09066L 14 7,,BIOTIME INC,*W EXP 03/10/201,DELETED
09066V 10 3,,BIOSPHERE MEDICAL INC,COM,
09067D 20 1,*,BIOTECH HOLDRS TR,DEPOSTRY RCPTS,
09067D 90 1,,BIOTECH HOLDRS TR,CALL,
09067D 95 1,,BIOTECH HOLDRS TR,PUT,
09067J 10 9,*,BIOVAIL CORP,COM,
09067J 90 9,,BIOVAIL CORP,CALL,
09067J 95 9,,BIOVAIL CORP,PUT,
09069N 10 8,*,BIOSCRIP INC,COM,
09069N 90 8,,BIOSCRIP INC,CALL,
09069N 95 8,,BIOSCRIP INC,PUT,
09071B 10 0,,BIOCLINICA INC,COM,
090881 10 3,,BIRKS & MAYORS INC,CL A VTG,
090911 10 8,*,BIOLASE TECHNOLOGY INC,COM,
090911 90 8,,BIOLASE TECHNOLOGY INC,CALL,
090911 95 8,,BIOLASE TECHNOLOGY INC,PUT,
090931 10 6,,BIOSPECIFICS TECHNOLOGIES CO,COM,
091283 20 0,,BIRNER DENTAL MGMT SERVICES,COM NEW,
091736 10 8,,BITSTREAM INC,CL A,
091797 10 0,*,BLACK & DECKER CORP,COM,DELETED
091797 90 0,,BLACK & DECKER CORP,CALL,DELETED
091797 95 0,,BLACK & DECKER CORP,PUT,DELETED
09180C 10 6,*,BJS RESTAURANTS INC,COM,
09180C 90 6,,BJS RESTAURANTS INC,CALL,
09180C 95 6,,BJS RESTAURANTS INC,PUT,
091826 10 7,*,BLACK BOX CORP DEL,COM,
091826 90 7,,BLACK BOX CORP DEL,CALL,
091826 95 7,,BLACK BOX CORP DEL,PUT,
091935 AA 4,,BLACKBOARD INC,NOTE  3.250% 7/0,
