cusip,options,issuer,description,status
G21490 50 6,,CIS ACQUISITION LTD,UNIT 99/99/9999,
G2266G 10 2,,COLLABRIUM JAPAN ACQUISITN C,SHS,
G2266G 11 0,,COLLABRIUM JAPAN ACQUISITN C,*W EXP 04/01/201,
G2266G 12 8,,COLLABRIUM JAPAN ACQUISITN C,UNIT 99/99/9999,
G23773 10 7,*,CONSOLIDATED WATER CO INC,ORD,
G23773 90 7,,CONSOLIDATED WATER CO INC,CALL,
G23773 95 7,,CONSOLIDATED WATER CO INC,PUT,
G2519Y 10 8,*,CREDICORP LTD,COM,
G2519Y 90 8,,CREDICORP LTD,CALL,
G2519Y 95 8,,CREDICORP LTD,PUT,
G25343 10 7,*,COSAN LTD,SHS A,
G25343 90 7,,COSAN LTD,CALL,
G25343 95 7,,COSAN LTD,PUT,
G2554F 11 3,*,COVIDIEN PLC,SHS,
G2554F 90 3,,COVIDIEN PLC,CALL,
G2554F 95 3,,COVIDIEN PLC,PUT,
G25861 AA 6,,CTRIP COM INTERNATIONAL LTD,DEBT  0.500% 9/1,
G25861 AB 4,,CTRIP COM INTERNATIONAL LTD,DEBT  1.250%10/1,
G27010 10 0,,DEHAIER MEDICAL SYSTEMS LIMI,SHS,
G27823 10 6,*,DELPHI AUTOMOTIVE PLC,SHS,
G27823 90 6,,DELPHI AUTOMOTIVE PLC,CALL,
G27823 95 6,,DELPHI AUTOMOTIVE PLC,PUT,
G29183 10 3,*,EATON CORP PLC,SHS,
G29183 90 3,,EATON CORP PLC,CALL,
G29183 95 3,,EATON CORP PLC,PUT,
G29438 10 1,,E FUTURE INFORMATION TECH IN,SHS,
G30397 10 6,*,ENDURANCE SPECIALTY HLDGS LT,SHS,
G30397 90 6,,ENDURANCE SPECIALTY HLDGS LT,CALL,
G30397 95 6,,ENDURANCE SPECIALTY HLDGS LT,PUT,
G30401 10 6,*,ENDO INTL PLC,SHS,
G30401 90 6,,ENDO INTL PLC,CALL,
G30401 95 6,,ENDO INTL PLC,PUT,
G3075P 10 1,,ENSTAR GROUP LIMITED,SHS,
G3156P 10 3,*,ASA GOLD AND PRECIOUS MTLS L,SHS,
G3156P 90 3,,ASA GOLD AND PRECIOUS MTLS L,CALL,
G3156P 95 3,,ASA GOLD AND PRECIOUS MTLS L,PUT,
G3157S 10 6,*,ENSCO PLC,SHS CLASS A,
G3157S 90 6,,ENSCO PLC,CALL,
G3157S 95 6,,ENSCO PLC,PUT,
G3163G 10 4,,CHINA METRO-RURAL HLDGS LTD,SHS,
G3198U 10 2,*,ESSENT GROUP LTD,COM,
G3198U 90 2,,ESSENT GROUP LTD,CALL,
G3198U 95 2,,ESSENT GROUP LTD,PUT,
G32030 12 7,,EURO TECH HOLDINGS CO LTD,SHS NEW,
G3223R 10 8,*,EVEREST RE GROUP LTD,COM,
G3223R 90 8,,EVEREST RE GROUP LTD,CALL,
G3223R 95 8,,EVEREST RE GROUP LTD,PUT,
G32335 10 4,,EXCEED COMPANY LTD,SHS,
G3323L 10 0,*,FABRINET,SHS,
G3323L 90 0,,FABRINET,CALL,
G3323L 95 0,,FABRINET,PUT,
G34155 AA 2,,51JOB INC,DEBT  3.250% 4/1,
G35569 10 5,*,FLEETMATICS GROUP PLC,COM,
G35569 90 5,,FLEETMATICS GROUP PLC,CALL,
G35569 95 5,,FLEETMATICS GROUP PLC,PUT,
G36738 10 5,*,FRESH DEL MONTE PRODUCE INC,ORD,
G36738 90 5,,FRESH DEL MONTE PRODUCE INC,CALL,
G36738 95 5,,FRESH DEL MONTE PRODUCE INC,PUT,
G3682E 12 7,*,FRONTLINE LTD,SHS,
G3682E 90 7,,FRONTLINE LTD,CALL,
G3682E 95 7,,FRONTLINE LTD,PUT,
G3704F 10 2,,FUWEI FILMS HLDGS CO LTD,SHS,
G3727Q 10 1,*,FREESCALE SEMICONDUCTOR LTD,SHS,
G3727Q 90 1,,FREESCALE SEMICONDUCTOR LTD,CALL,
G3727Q 95 1,,FREESCALE SEMICONDUCTOR LTD,PUT,
G37585 10 9,*,GASLOG LTD,SHS,
G37585 90 9,,GASLOG LTD,CALL,
G37585 95 9,,GASLOG LTD,PUT,
G3788M 11 4,,EROS INTL PLC,SHS NEW,
G38327 10 5,,GEOPARK LTD,USD SHS,
G3922B 10 7,*,GENPACT LIMITED,SHS,
G3922B 90 7,,GENPACT LIMITED,CALL,
G3922B 95 7,,GENPACT LIMITED,PUT,
G39300 10 1,,GLOBAL SOURCES LTD,ORD,
G39319 10 1,*,GLOBAL INDEMNITY PLC,SHS,
G39319 90 1,,GLOBAL INDEMNITY PLC,CALL,
G39319 95 1,,GLOBAL INDEMNITY PLC,PUT,
G39320 11 7,,GLOBAL TECH ADVANCED INNOVAT,SHS NEW,
G4095J 10 9,*,GREENLIGHT CAPITAL RE LTD,CLASS A,
G4095J 90 9,,GREENLIGHT CAPITAL RE LTD,CALL,
G4095J 95 9,,GREENLIGHT CAPITAL RE LTD,PUT,
G4388N 10 6,*,HELEN OF TROY CORP LTD,COM,
G4388N 90 6,,HELEN OF TROY CORP LTD,CALL,
G4388N 95 6,,HELEN OF TROY CORP LTD,PUT,
G4412G 10 1,*,HERBALIFE LTD,COM USD SHS,
G4412G 90 1,,HERBALIFE LTD,CALL,
G4412G 95 1,,HERBALIFE LTD,PUT,
G4481U 10 6,,HIGHWAY HLDGS LTD,ORD,
G45667 10 5,*,HOLLYSYS AUTOMATION TECHNOLO,SHS,
G45667 90 5,,HOLLYSYS AUTOMATION TECHNOLO,CALL,
G45667 95 5,,HOLLYSYS AUTOMATION TECHNOLO,PUT,
G4617B 10 5,*,HORIZON PHARMA PLC,SHS,ADDED
G4617B 90 5,,HORIZON PHARMA PLC,CALL,ADDED
G4617B 95 5,,HORIZON PHARMA PLC,PUT,ADDED
G4705A 10 0,*,ICON PLC,SHS,
G4705A 90 0,,ICON PLC,CALL,
G4705A 95 0,,ICON PLC,PUT,
G47204 10 5,*,IAO KUN GROUP HLDG CO LTD,ORD USD SHS,
G47204 90 5,,IAO KUN GROUP HLDG CO LTD,CALL,
G47204 95 5,,IAO KUN GROUP HLDG CO LTD,PUT,
G47791 10 1,*,INGERSOLL-RAND PLC,SHS,
G47791 90 1,,INGERSOLL-RAND PLC,CALL,
G47791 95 1,,INGERSOLL-RAND PLC,PUT,
G48833 10 0,*,WEATHERFORD INTL PLC,ORD SHS,ADDED
G48833 90 0,,WEATHERFORD INTL PLC,CALL,ADDED
G48833 95 0,,WEATHERFORD INTL PLC,PUT,ADDED
G491BT 10 8,*,INVESCO LTD,SHS,
G491BT 90 8,,INVESCO LTD,CALL,
G491BT 95 8,,INVESCO LTD,PUT,
G50871 10 5,*,JAZZ PHARMACEUTICALS PLC,SHS USD,
G50871 90 5,,JAZZ PHARMACEUTICALS PLC,CALL,
G50871 95 5,,JAZZ PHARMACEUTICALS PLC,PUT,
G5138L 10 0,*,JINPAN INTL LTD,ORD,
G5138L 90 0,,JINPAN INTL LTD,CALL,
G5138L 95 0,,JINPAN INTL LTD,PUT,
G51385 AA 3,,JINKOSOLAR HLDG CO LTD,DEBT  4.000% 2/0,
G5258J 10 9,*,KING DIGITAL ENTMT PLC,ORD SHS,
G5258J 90 9,,KING DIGITAL ENTMT PLC,CALL,
G5258J 95 9,,KING DIGITAL ENTMT PLC,PUT,
G5307C 10 5,,KOFAX LTD,COM USD,
G5315B 10 7,*,KOSMOS ENERGY LTD,SHS,
G5315B 90 7,,KOSMOS ENERGY LTD,CALL,
G5315B 95 7,,KOSMOS ENERGY LTD,PUT,
G54050 10 2,*,LAZARD LTD,SHS A,
G54050 90 2,,LAZARD LTD,CALL,
G54050 95 2,,LAZARD LTD,PUT,
G5480U 10 4,*,LIBERTY GLOBAL PLC,SHS CL A,
G5480U 90 4,,LIBERTY GLOBAL PLC,CALL,
G5480U 95 4,,LIBERTY GLOBAL PLC,PUT,
G5480U 11 2,,LIBERTY GLOBAL PLC,SHS CL B,
G5480U 12 0,*,LIBERTY GLOBAL PLC,SHS CL C,
G5480U 90 0,,LIBERTY GLOBAL PLC,CALL,
G5480U 95 0,,LIBERTY GLOBAL PLC,PUT,
G55598 10 9,,LOMBARD MED INC,COM,
G57279 10 4,,LUXOFT HLDG INC,ORD SHS CL A,
G5753U 11 2,*,MAIDEN HOLDINGS LTD,SHS,
G5753U 90 2,,MAIDEN HOLDINGS LTD,CALL,
G5753U 95 2,,MAIDEN HOLDINGS LTD,PUT,
G5784H 10 6,*,MANCHESTER UTD PLC NEW,ORD CL A,
G5784H 90 6,,MANCHESTER UTD PLC NEW,CALL,
G5784H 95 6,,MANCHESTER UTD PLC NEW,PUT,
G5785G 10 7,*,MALLINCKRODT PUB LTD CO,SHS,
G5785G 90 7,,MALLINCKRODT PUB LTD CO,CALL,
G5785G 95 7,,MALLINCKRODT PUB LTD CO,PUT,
G58249 10 6,*,MARKIT LTD,SHS,ADDED
G58249 90 6,,MARKIT LTD,CALL,ADDED
G58249 95 6,,MARKIT LTD,PUT,ADDED
G5866L 10 8,,GARNERO GROUP ACQUISITION CO,SHS,ADDED
G5866L 11 6,,GARNERO GROUP ACQUISITION CO,*W EXP 06/24/201,ADDED
G5866L 12 4,,GARNERO GROUP ACQUISITION CO,UNIT 99/99/9999,ADDED
G5866L 13 2,,GARNERO GROUP ACQUISITION CO,RIGHT 06/25/2016,ADDED
G5876H 10 5,*,MARVELL TECHNOLOGY GROUP LTD,ORD,
G5876H 90 5,,MARVELL TECHNOLOGY GROUP LTD,CALL,
G5876H 95 5,,MARVELL TECHNOLOGY GROUP LTD,PUT,
G6S01W 10 8,*,PARAGON OFFSHORE PLC,SHS,ADDED
G6S01W 90 8,,PARAGON OFFSHORE PLC,CALL,ADDED
G6S01W 95 8,,PARAGON OFFSHORE PLC,PUT,ADDED
G60754 10 1,*,MICHAEL KORS HLDGS LTD,SHS,
G60754 90 1,,MICHAEL KORS HLDGS LTD,CALL,
G60754 95 1,,MICHAEL KORS HLDGS LTD,PUT,
G6209T 10 5,*,MONTAGE TECHNOLOGY GROUP LTD,SHS,
G6209T 90 5,,MONTAGE TECHNOLOGY GROUP LTD,CALL,
G6209T 95 5,,MONTAGE TECHNOLOGY GROUP LTD,PUT,
G62185 10 6,*,MONTPELIER RE HOLDINGS LTD,SHS,
G62185 90 6,,MONTPELIER RE HOLDINGS LTD,CALL,
G62185 95 6,,MONTPELIER RE HOLDINGS LTD,PUT,
G6331P 10 4,*,ALPHA & OMEGA SEMICONDUCTOR,SHS,
G6331P 90 4,,ALPHA & OMEGA SEMICONDUCTOR,CALL,
G6331P 95 4,,ALPHA & OMEGA SEMICONDUCTOR,PUT,
G6359F 10 3,*,NABORS INDUSTRIES LTD,SHS,
G6359F 90 3,,NABORS INDUSTRIES LTD,CALL,
G6359F 95 3,,NABORS INDUSTRIES LTD,PUT,
G63907 10 2,*,NAM TAI PPTY INC,SHS,
G63907 90 2,,NAM TAI PPTY INC,CALL,
G63907 95 2,,NAM TAI PPTY INC,PUT,
G64626 16 4,,NEWLEAD HOLDINGS LTD,SHS PAR $0.50,DELETED
G65431 10 1,*,NOBLE CORP PLC,SHS USD,
G65431 90 1,,NOBLE CORP PLC,CALL,
G65431 95 1,,NOBLE CORP PLC,PUT,
G65773 10 6,*,NORDIC AMERICAN TANKERS LIMI,COM,
G65773 90 6,,NORDIC AMERICAN TANKERS LIMI,CALL,
G65773 95 6,,NORDIC AMERICAN TANKERS LIMI,PUT,
G6583A 10 2,*,NORD ANGLIA EDUCATION INC,SHS,
G6583A 90 2,,NORD ANGLIA EDUCATION INC,CALL,
G6583A 95 2,,NORD ANGLIA EDUCATION INC,PUT,
G6613P 20 2,*,NORTH ATLANTIC DRILLING LTD,COM,
G6613P 90 2,,NORTH ATLANTIC DRILLING LTD,CALL,
G6613P 95 2,,NORTH ATLANTIC DRILLING LTD,PUT,
G6648D 10 9,*,HOME LN SERVICING SOLUTIONS,ORD SHS,
G6648D 90 9,,HOME LN SERVICING SOLUTIONS,CALL,
G6648D 95 9,,HOME LN SERVICING SOLUTIONS,PUT,
G66721 10 4,*,NORWEGIAN CRUISE LINE HLDGS,SHS,
G66721 90 4,,NORWEGIAN CRUISE LINE HLDGS,CALL,
G66721 95 4,,NORWEGIAN CRUISE LINE HLDGS,PUT,
G67742 10 9,*,ONEBEACON INSURANCE GROUP LT,CL A,
G67742 90 9,,ONEBEACON INSURANCE GROUP LT,CALL,
G67742 95 9,,ONEBEACON INSURANCE GROUP LT,PUT,
G67743 10 7,*,ORIENT-EXPRESS HOTELS LTD,CL A,DELETED
G67743 90 7,,ORIENT-EXPRESS HOTELS LTD,CALL,DELETED
G67743 95 7,,ORIENT-EXPRESS HOTELS LTD,PUT,DELETED
G67828 10 6,*,ORIGIN AGRITECH LIMITED,SHS,
G67828 90 6,,ORIGIN AGRITECH LIMITED,CALL,
G67828 95 6,,ORIGIN AGRITECH LIMITED,PUT,
G6852T 10 5,*,PARTNERRE LTD,COM,
G6852T 90 5,,PARTNERRE LTD,CALL,
G6852T 95 5,,PARTNERRE LTD,PUT,
G6855A 10 3,,OXFORD IMMUNOTEC GLOBAL PLC,ORD SHS,
G6856M 10 6,,OXBRIDGE RE HLDGS LTD,SHS,
G6856M 11 4,,OXBRIDGE RE HLDGS LTD,*W EXP 03/26/201,
G7S00T 10 4,*,PENTAIR PLC,SHS,
G7S00T 90 4,,PENTAIR PLC,CALL,
G7S00T 95 4,,PENTAIR PLC,PUT,
G7114V 10 2,,PINGTAN MARINE ENTERPRISE LT,SHS,
G7127P 10 0,*,PLATINUM UNDERWRITER HLDGS L,COM,
G7127P 90 0,,PLATINUM UNDERWRITER HLDGS L,CALL,
G7127P 95 0,,PLATINUM UNDERWRITER HLDGS L,PUT,
G72800 10 8,*,PROTHENA CORP PLC,SHS,
G72800 90 8,,PROTHENA CORP PLC,CALL,
G72800 95 8,,PROTHENA CORP PLC,PUT,
G73030 AA 9,,QIHOO 360 TECHNOLOGY CO LTD,DEBT  2.500% 9/1,
G73030 AB 7,,QIHOO 360 TECHNOLOGY CO LTD,DEBT  0.500% 8/1,ADDED
G73030 AC 5,,QIHOO 360 TECHNOLOGY CO LTD,DEBT  1.750% 8/1,ADDED
G73268 10 7,,QUOTIENT LTD,SHS,
G7415M 10 8,,RECON TECHNOLOGY LTD,SHS,
G7496G 10 3,*,RENAISSANCERE HOLDINGS LTD,COM,
G7496G 90 3,,RENAISSANCERE HOLDINGS LTD,CALL,
G7496G 95 3,,RENAISSANCERE HOLDINGS LTD,PUT,
G7665A 10 1,*,ROWAN COMPANIES PLC,SHS CL A,
G7665A 90 1,,ROWAN COMPANIES PLC,CALL,
G7665A 95 1,,ROWAN COMPANIES PLC,PUT,
G7945E 10 5,*,SEADRILL LIMITED,SHS,
G7945E 90 5,,SEADRILL LIMITED,CALL,
G7945E 95 5,,SEADRILL LIMITED,PUT,
G7945M 10 7,*,SEAGATE TECHNOLOGY PLC,SHS,
G7945M 90 7,,SEAGATE TECHNOLOGY PLC,CALL,
G7945M 95 7,,SEAGATE TECHNOLOGY PLC,PUT,
G80751 10 3,,SGOCO GROUP LTD,SHS,
G81075 AE 6,,SHIP FINANCE INTERNATIONAL L,NOTE  3.250% 2/0,
G81075 10 6,*,SHIP FINANCE INTERNATIONAL L,SHS,
G81075 90 6,,SHIP FINANCE INTERNATIONAL L,CALL,
G81075 95 6,,SHIP FINANCE INTERNATIONAL L,PUT,
G81276 10 0,*,SIGNET JEWELERS LIMITED,SHS,
G81276 90 0,,SIGNET JEWELERS LIMITED,CALL,
G81276 95 0,,SIGNET JEWELERS LIMITED,PUT,
G81477 AA 2,,SINA CORP,DEBT  1.000%12/0,
G81477 10 4,*,SINA CORP,ORD,
G81477 90 4,,SINA CORP,CALL,
G81477 95 4,,SINA CORP,PUT,
G8273W AA 3,,SOUFUN HLDGS LTD,DEBT  2.000%12/1,
G8663P AA 6,,TAL ED GROUP,NOTE  2.500% 5/1,
G87210 10 3,*,UTI WORLDWIDE INC,ORD,
G87210 90 3,,UTI WORLDWIDE INC,CALL,
G87210 95 3,,UTI WORLDWIDE INC,PUT,
G87264 10 0,,TECNOGLASS INC,SHS,
G8766E 10 9,*,TEXTAINER GROUP HOLDINGS LTD,SHS,
G8766E 90 9,,TEXTAINER GROUP HOLDINGS LTD,CALL,
G8766E 95 9,,TEXTAINER GROUP HOLDINGS LTD,PUT,
G8807B 10 6,*,THERAVANCE BIOPHARMA INC,COM,
G8807B 90 6,,THERAVANCE BIOPHARMA INC,CALL,
G8807B 95 6,,THERAVANCE BIOPHARMA INC,PUT,
G8827U 10 0,*,THIRD PT REINS LTD,COM,
G8827U 90 0,,THIRD PT REINS LTD,CALL,
G8827U 95 0,,THIRD PT REINS LTD,PUT,
G88685 10 5,,TIGER MEDIA INC,SHS,
G8883T 10 4,,TIANLI AGRITECH INC,SHS,DELETED
G8988C 10 5,*,TOWER GROUP INTL LTD,COM,DELETED
G8988C 90 5,,TOWER GROUP INTL LTD,CALL,DELETED
G8988C 95 5,,TOWER GROUP INTL LTD,PUT,DELETED
G89982 11 3,*,TRANSATLANTIC PETROLEUM LTD,SHS NEW,
G89982 90 3,,TRANSATLANTIC PETROLEUM LTD,CALL,
G89982 95 3,,TRANSATLANTIC PETROLEUM LTD,PUT,
G9019D 10 4,,TRAVELPORT WORLDWIDE LTD,SHS,ADDED
G9108L 10 8,*,TSAKOS ENERGY NAVIGATION LTD,SHS,
G9108L 90 8,,TSAKOS ENERGY NAVIGATION LTD,CALL,
G9108L 95 8,,TSAKOS ENERGY NAVIGATION LTD,PUT,
G9310A 11 4,*,UTSTARCOM HOLDINGS CORP,SHS NEW,
G9310A 90 4,,UTSTARCOM HOLDINGS CORP,CALL,
G9310A 95 4,,UTSTARCOM HOLDINGS CORP,PUT,
G9319H 10 2,*,VALIDUS HOLDINGS LTD,COM SHS,
G9319H 90 2,,VALIDUS HOLDINGS LTD,CALL,
G9319H 95 2,,VALIDUS HOLDINGS LTD,PUT,
G93205 AA 3,,VANTAGE DRILLING COMPANY,NOTE  7.875% 9/0,
G93205 11 3,,VANTAGE DRILLING COMPANY,ORD SHS,
G9363W 10 4,*,VIEWTRAN GROUP INC,USD ORD SHS,
G9363W 90 4,,VIEWTRAN GROUP INC,CALL,
G9363W 95 4,,VIEWTRAN GROUP INC,PUT,
G9456A 10 0,*,GOLAR LNG LTD BERMUDA,SHS,
G9456A 90 0,,GOLAR LNG LTD BERMUDA,CALL,
G9456A 95 0,,GOLAR LNG LTD BERMUDA,PUT,
G9618E 10 7,,WHITE MTNS INS GROUP LTD,COM,
G96666 10 5,*,WILLIS GROUP HOLDINGS PUBLIC,SHS,
G96666 90 5,,WILLIS GROUP HOLDINGS PUBLIC,CALL,
G96666 95 5,,WILLIS GROUP HOLDINGS PUBLIC,PUT,
G97822 10 3,*,PERRIGO CO PLC,SHS,
G97822 90 3,,PERRIGO CO PLC,CALL,
G97822 95 3,,PERRIGO CO PLC,PUT,
G98290 10 2,*,XL GROUP PLC,SHS,
G98290 90 2,,XL GROUP PLC,CALL,
G98290 95 2,,XL GROUP PLC,PUT,
G9887Y AA 5,,YY INC,DEBT  2.250% 4/0,
H0023R 10 5,*,ACE LTD,SHS,
H0023R 90 5,,ACE LTD,CALL,
H0023R 95 5,,ACE LTD,PUT,
H01531 10 4,*,ALLIED WRLD ASSUR COM HLDG A,SHS,
H01531 90 4,,ALLIED WRLD ASSUR COM HLDG A,CALL,
H01531 95 4,,ALLIED WRLD ASSUR COM HLDG A,PUT,
H03579 10 1,,AURIS MED HLDG AG,COM,ADDED
H27013 10 3,*,WEATHERFORD INTERNATIONAL LT,REG SHS,DELETED
H27013 90 3,,WEATHERFORD INTERNATIONAL LT,CALL,DELETED
H27013 95 3,,WEATHERFORD INTERNATIONAL LT,PUT,DELETED
H27178 10 4,*,FOSTER WHEELER AG,COM,
H27178 90 4,,FOSTER WHEELER AG,CALL,
H27178 95 4,,FOSTER WHEELER AG,PUT,
H2906T 10 9,*,GARMIN LTD,SHS,
H2906T 90 9,,GARMIN LTD,CALL,
H2906T 95 9,,GARMIN LTD,PUT,
H50430 23 2,*,LOGITECH INTL S A,SHS,
H50430 90 2,,LOGITECH INTL S A,CALL,
H50430 95 2,,LOGITECH INTL S A,PUT,
H84689 10 0,,TCP INTL HLDGS LTD,COM,ADDED
H84989 10 4,*,TE CONNECTIVITY LTD,REG SHS,
H84989 90 4,,TE CONNECTIVITY LTD,CALL,
H84989 95 4,,TE CONNECTIVITY LTD,PUT,
H8817H 10 0,*,TRANSOCEAN LTD,REG SHS,
H8817H 90 0,,TRANSOCEAN LTD,CALL,
H8817H 95 0,,TRANSOCEAN LTD,PUT,
H89128 10 4,*,TYCO INTERNATIONAL LTD,SHS,
H89128 90 4,,TYCO INTERNATIONAL LTD,CALL,
H89128 95 4,,TYCO INTERNATIONAL LTD,PUT,
H89231 33 8,*,UBS AG,SHS NEW,
H89231 90 8,,UBS AG,CALL,
H89231 95 8,,UBS AG,PUT,
L00849 10 6,*,ADECOAGRO S A,COM,
L00849 90 6,,ADECOAGRO S A,CALL,
L00849 95 6,,ADECOAGRO S A,PUT,
L0175J 10 4,*,ALTISOURCE PORTFOLIO SOLNS S,REG SHS,
L0175J 90 4,,ALTISOURCE PORTFOLIO SOLNS S,CALL,
